id,index,content,proofed
187763,1,尊敬的战友们好,尊敬的战友们好
187764,2,你看我的头发,你看我这个头发
187765,3,这个我知识的20年来唯一一次出门不带理发师,这个头发， 这是我一，二十年以来第一次出门不带理
187766,4,结果去了一个,结果去了一个
187767,5,老人家的理发店,老人家的理发店
187768,6,这个倒进去了什么意见了,店， 进去了这么一剪
187769,7,推的过下去过理成这样了,推子给我下去，给我理成这样了
187770,8,他说海海豹突击队的头,他说这是海豹突击队的头
187771,9,在哪个海豹突击队,像是 。海豹突击队
187772,10,海口土地最好像是啊,海口突击队，好像是
187773,11,海豹海狗,海豹突击
187774,12,一对,击队
187775,13,当年夏业良了好几个笑话,当年夏业良，我记得这
187776,14,说要搞什么,说要搞一个
187777,15,海豹突击队送过州到海峡号,海豹突击队，送到中南海去
187778,16,简直是无耻,简直是无耻
187779,17,史子集,耻之极
187780,18,对了,对了
187781,19,昨天,昨天
187782,20,和前天我在这个,和前天我在华
187783,21,华盛顿再说听到的事,华盛顿的时候，听到
187784,22,两三个这么多,两三个笑话
187785,23,那个笑话,三个笑话
187786,24,说那个下一点啊这个在什么这个马里兰州啊他的房子呢,说这个夏业良啊，在马里兰州他的房子搞那种家
187787,25,搞内容,搞那种
187788,26,家庭旅馆,家庭旅馆
187789,27,啊,A
187790,28,这个在网上在Airbnb的,这个夏业良啊，在马里兰
187791,29,阿尔滨的那结果到北京来的人呢,的，Airbnb那，结果北京来人了，人
187792,30,人家就打了一个马里兰州大威大厦,人家就查了一下，马里兰州，David Xia
187793,31,啊人家不让说话,"a, 人家也不知道是他"
187794,32,去了,去了
187795,33,去了以后啊这个到他家住进去啊,去了以后啊，到他家就住进去了，别
187796,34,就别提了那个敲诈,进去了，别提了， 让他给
187797,35,这要加钱呢要加钱,这要加钱，那要加钱
187798,36,付出自己,幅粗鲁之极
187799,37,现在家想见黑一点的就差没郑州包子了,像进了黑店是的，就差没炖成人肉包子了
187800,38,这里要赔钱那有钱,这要赔钱，那要赔钱
187801,39,然后在这个这个还解,人肉包子了， 这要赔
187802,40,这水也不行那也不行,这谁也不行，那谁也不行 ，
187803,41,不但不行而且极为出路,不但不行，而且极为粗鲁
187804,42,这个套间会说这个谁也是,给他套近乎，说谁谁谁也
187805,43,这个民主,求民主
187806,44,自由的这个追求名字有的人是,谁也是追求民主自由的人士， 他根
187807,45,根本不搭理,根本就不搭
187808,46,根本就不理,根本就不理
187809,47,这是一个另外一个这个真的熟的人做他家去了,"这是一个。



另外一个，跟他熟的人，住到他家里去了"
187810,48,这个结果把什么磕碰了一下打电话骂人家,了 ，结果把什么给他碰了一下， 打电话骂人家，这
187811,49,这2屏蔽,这个Airbn
187812,50,这个我听说这事以后我已经给我律师说了我是他美国政府,这个事以后，我已经跟我的律师说了。我说要像美国政府
187813,51,我检举揭发的,检举揭发
187814,52,我怀疑这个店里面有问题,我怀疑这个店里边有问题
187815,53,而现在有人在她家里玩啊,而且有人在他家里边
187816,54,这个这个觉得很不舒服,，觉得很不舒服
187817,55,老带新的屋里有摄像头,老担心她屋里边有摄像头
187818,56,这个因为夏业良了在北大的时候听说啊我就住山路说的住山路当面给我说的,像头，因为夏业良在北大的时候听说，我听朱善璐说的，朱善璐当面跟我说的。这家
187819,57,啊这家伙就有这个,这家伙就有专
187820,58,这个专门亏是女还是毛病,专门窥视女孩的毛病 ，这是
187821,59,这是为啥都在北大呀,这是为啥他在北大
187822,60,Driver长得也农村考上学的孩子,大专门 找那些农村考上来的
187823,61,给你补课,给人家补
187824,62,而现在这个曾经也传说他给你干摄像头,而且也曾经传说 他给人家安摄像头
187825,63,Kris人家别人女学生,视人家别的女学生
187826,64,是最小的,是纳了
187827,65,开这个家的旅馆我是很,开这个家庭旅馆，我是很
187828,66,放心啊哈,放心。
187829,67,是有些人啊为啥呢拿了门了而且我听了很急,是纳了闷了，而且我听说很惊讶的事情
187830,68,假的事情,惊讶的事情
187831,69,还很有身份的人,还是很有身份的人
187832,70,要不差那点钱,人， 也不差那点钱
187833,71,住那个,住那个
187834,72,家庭旅馆干嘛的,家庭旅馆干嘛
187835,73,他的家里人又不打扰了卫生35,去？ 家里边又不打扫卫生
187836,74,每次的搞那么,每次都搞那么
187837,75,敲诈勒索,敲诈勒索
187838,76,他这里会是一号人是哪家伙,李洪宽是一号人，这两个家伙
187839,77,就是,就是
187840,78,敲诈勒索蒙骗术,敲诈勒索， 蒙骗所
187841,79,所有,所有
187842,80,然后有极大的这个心理毛病和crispy,然后有极大的心理毛病和窥视癖
187843,81,最要小心,说要小心
187844,82,那么,那么
187845,83,夏业良这是扯淡,夏业良的这个事
187846,84,这是来送死了,这个事，恶心死了
187847,85,不说他了,不说他了
187848,86,但是我要说的是,但是我要说的是
187849,87,这个另外的啊,这个事，恶心
187850,88,今天我要给他他,今天我要跟大家
187851,89,哎呀这个在华盛顿的说,一下， 在华盛顿的时候
187852,90,好感受,我感受
187853,91,做个省的,做的非常
187854,92,我接触的有些华人,的有些华人，素质
187855,93,素质真高,素质真
187856,94,真有理,真有理
187857,95,想在美国也是,想，在美国也是
