id,title,description,date,youtube_url,youtube_id
4,"April 24, 2019文贵向战友们报告昨天的三个神秘会议的内容及对张建先生突然病逝的祈祷！",,2019-04-24,https://www.youtube.com/watch?v=6NU3FM3YfYQ,6NU3FM3YfYQ
5,2019年4月22日：伊朗的石油制栽意味着共产党推行独栽盗国制度．将受到法治．民主社会制度的全面反击！,,2019-04-22,https://www.youtube.com/watch?v=rkytjh7aFyI,rkytjh7aFyI
6,2019年4月21日：文贵为什么要揭穿．李嘉诚．马云．郭台铭．江志诚！,,2019-04-21,https://www.youtube.com/watch?v=Nno18amLzwQ,Nno18amLzwQ
7,"2019年4月20日班农先生与文贵谈郭台铭选台湾总统 :  Steve Bannon and Miles Guo, a dialogue on Terry Gou’s presidential bid",,2019-04-20,https://www.youtube.com/watch?v=Uh8Ourx9kRw,Uh8Ourx9kRw
8,4月19日：【419】一个难忘的日子……2017年与VOA龚小夏女士．东方先生……在我家的釆访！断播二周年．文贵回顾这两年来爆料的一些人和事……一切都是刚刚开始,,2019-04-18,https://www.youtube.com/watch?v=Oe22Ocs1qrU,Oe22Ocs1qrU
9,2019年4月16日4月16号：尊敬的战友们好，你们健身了吗？你20直播报平安！不爆料就是谈谈，昨天让大家搜集李嘉诚10个人信息的进展！和简单谈谈维基解密解密的信息,,2019-04-16,https://www.youtube.com/watch?v=-GP1BjH06v0,-GP1BjH06v0
10,2019年4月15日4月15日：接下来的爆料有些会是让人无法接受的……人性丑恶行为！＂世上有些人的恶已经超过魔鬼👹＂与共产党一起的任何人任何事情都比妖怪还要让人憎恶……,,2019-04-15,https://www.youtube.com/watch?v=TZESdz_IsN0,TZESdz_IsN0
11,"April 13, 2019第三次直播．王岐山副主席可能要扶正！给战友们的四条建议！紧急通知⚠️战友必看！",,2019-04-13,https://www.youtube.com/watch?v=P7ZQO8GJlR0,P7ZQO8GJlR0
12,4月13日文贵直播：什么叫蓝通？为什么刘鹤将遣返爆料战友等21人作为中美贸易交易的条件！,,2019-04-13,https://www.youtube.com/watch?v=QHQrwq15VbM,QHQrwq15VbM
13,4月13日：郭文贵直播谈盗国贼的财富以及这周发生的大事！ 江家集团在中国的实际实力和未来的下场！,"4月13日：郭文贵直播谈盗国贼的财富以及这周发生的大事！
江家集团在中国的实际实力和未来的下场！",2019-04-13,https://www.youtube.com/watch?v=kNAf1hLh0DQ,kNAf1hLh0DQ
16,4月9号文贵报平安直播！谈谈陈小平先生和何频先生．明镜．和龚小夏女士上次直播时没有说清楚的几个事！,,2019-04-09,https://www.youtube.com/watch?v=q1S5RZNij1k,q1S5RZNij1k
